price,fareTypes,availableSites,carryOn,checkedBags,outbound_departureTime,outbound_duration,return_departureTime,return_duration
C$ 236,Economy,0,1,0,8:00 pm,4h 20m,6:35 am,4h 40m
C$ 258,Economy,0,1,0,11:40 pm,4h 20m,6:35 am,4h 40m
C$ 258,Economy,0,1,0,8:00 pm,4h 20m,2:30 am,4h 40m
C$ 258,Economy,0,1,0,8:00 pm,4h 20m,1:00 am,4h 40m
C$ 260,Economy,0,1,0,5:35 pm,4h 20m,6:35 am,4h 40m
C$ 281,Economy,0,1,0,11:40 pm,4h 20m,1:00 am,4h 40m
C$ 281,Economy,0,1,0,11:40 pm,4h 20m,2:30 am,4h 40m
C$ 282,Economy,0,1,0,5:35 pm,4h 20m,1:00 am,4h 40m
C$ 282,Economy,0,1,0,5:35 pm,4h 20m,2:30 am,4h 40m
C$ 442,Economy,0,1,1,2:35 pm,4h 25m,8:50 am,4h 40m
C$ 633,Economy,0,1,1,4:20 pm,4h 15m,10:05 am,4h 45m
C$ 670,Economy,0,1,1,10:10 am,8h 55m,10:50 am,10h 05m
C$ 670,Economy,0,1,1,10:10 am,8h 55m,10:50 am,10h 55m
C$ 670,Economy,0,1,1,7:40 pm,14h 55m,10:50 am,10h 05m
